RecordNumber,take_type,sw_allo_block,WAP,WapRate,AllocatedRate,FromMonth,ToMonth,SD1,SD2,ConsentStatus,FromDate,ToDate
MLB850048,Take Surface Water,A,,75000.0,75000.0,1,12,0.0,0.0,Terminated - Surrendered,1985-09-10,1998-01-21
SCY790226A.1,Take Surface Water,A,,28130.0,28130.0,1,12,0.0,0.0,Terminated - Expired,1994-04-06,1996-12-01
SCY790226A,Take Surface Water,A,,28130.0,28130.0,1,12,0.0,0.0,Terminated - Replaced,1979-11-14,1994-04-06
MLB830063,Take Surface Water,A,,15620.0,15620.0,1,12,0.0,0.0,Terminated - Surrendered,1983-08-09,1995-11-01
NCY770246,Take Surface Water,A,,12000.0,12000.0,1,12,0.0,0.0,Terminated - Surrendered,1977-11-01,1995-12-19
SCY870005F,Take Surface Water,A,,12000.0,12000.0,1,12,0.0,0.0,Terminated - Expired,1987-04-08,1993-12-01
WTK733171A,Take Surface Water,In Waitaki,,11320.0,11320.0,1,12,0.0,0.0,Terminated - Replaced,1974-08-20,1993-12-06
WTK733171A.1,Take Surface Water,In Waitaki,,11320.0,11320.0,1,12,0.0,0.0,Terminated - Expired,1993-12-06,2001-10-01
NCY850422,Take Surface Water,A,,11000.0,11000.0,1,12,0.0,0.0,Terminated - Expired,1985-09-17,1998-06-10
WTK846591A,Take Surface Water,A,,10000.0,10000.0,1,12,0.0,0.0,Terminated - Surrendered,1985-03-15,1991-05-30
WTK733081A,Take Surface Water,In Waitaki,,9340.0,9340.0,1,12,0.0,0.0,Terminated - Surrendered,1973-09-04,1993-12-09
NCY730463,Take Surface Water,A,,8500.0,8500.0,1,12,0.0,0.0,Terminated - Surrendered,1973-10-01,1997-07-09
NCY770244,Take Surface Water,A,,8200.0,8200.0,1,12,0.0,0.0,Terminated - Surrendered,1977-11-01,1995-12-19
NCY710089,Take Surface Water,A,,7360.0,7360.0,1,12,0.0,0.0,Terminated - Surrendered,1971-08-07,1995-12-19
WTK861601A,Take Surface Water,A,,7344.0,7344.0,1,12,0.0,0.0,Terminated - Expired,1986-05-20,2003-01-08
SCY790150,Take Surface Water,A,,7000.0,7000.0,1,12,0.0,0.0,Terminated - Expired,1977-05-18,1993-03-01
NCY880386A,Take Surface Water,A,,7000.0,7000.0,1,12,0.0,0.0,Terminated - Expired,1988-10-07,1997-04-30
NCY750340,Take Surface Water,A,,6000.0,6000.0,1,12,0.0,0.0,Terminated - Surrendered,1975-07-01,1997-07-09
NCY810027,Take Surface Water,A,,5900.0,5900.0,1,12,0.0,0.0,Terminated - Surrendered,1981-03-01,1995-12-19
CRC951326,Take Surface Water,A,,5000.0,5000.0,1,12,0.0,0.0,Terminated - Replaced,1998-06-10,2000-05-31
CRC900317,Take Surface Water,A,,5000.0,5000.0,1,12,0.0,0.0,Terminated - Expired,1992-01-22,1995-04-30
WTK836272.1,Take Surface Water,In Waitaki,,5000.0,5000.0,1,12,0.0,0.0,Terminated - Surrendered,1999-08-05,2000-06-12
CRC971412,Take Surface Water,In Waitaki,,5000.0,5000.0,1,12,0.0,0.0,Terminated - Surrendered,1998-09-11,2001-03-26
CRC900316,Take Surface Water,A,,5000.0,5000.0,1,12,0.0,0.0,Terminated - Expired,1992-01-22,1995-04-30
WTK836272,Take Surface Water,In Waitaki,,5000.0,5000.0,1,12,0.0,0.0,Terminated - Replaced,1984-07-05,1999-08-05
SCY710050,Take Surface Water,A,,4247.0,4247.0,1,12,0.0,0.0,Terminated - Expired,1971-05-12,2001-10-01
NCY790304,Take Surface Water,A,,4000.0,4000.0,1,12,0.0,0.0,Terminated - Surrendered,1979-09-01,1995-12-19
NCY790314,Take Surface Water,A,,3930.0,3930.0,1,12,0.0,0.0,Terminated - Surrendered,1979-09-01,1995-12-19
CRC897372C,Take Surface Water,In Waitaki,,3600.0,3600.0,1,12,0.0,0.0,Terminated - Replaced,1993-09-27,1996-10-30
SCY820111A,Take Surface Water,A,,3500.0,3500.0,1,12,0.0,0.0,Terminated - Expired,1977-05-18,1993-03-01
SCY800014D,Take Surface Water,A,,3500.0,3500.0,1,12,0.0,0.0,Terminated - Expired,1980-02-13,1993-06-01
SCY820042,Take Surface Water,A,,3000.0,3000.0,1,12,0.0,0.0,Terminated - Expired,1982-03-12,1991-12-01
WTK690213.1,Take Surface Water,In Waitaki,,2840.0,2840.0,1,12,0.0,0.0,Terminated - Surrendered,1992-09-04,1993-06-17
WTK690213,Take Surface Water,In Waitaki,,2840.0,2840.0,1,12,0.0,0.0,Terminated - Replaced,1987-09-01,1992-09-04
WTK690211.1,Take Surface Water,In Waitaki,,2840.0,2840.0,1,12,0.0,0.0,Terminated - Surrendered,1992-09-04,1993-06-17
WTK690211,Take Surface Water,In Waitaki,,2840.0,2840.0,1,12,0.0,0.0,Terminated - Replaced,1969-02-12,1992-09-04
NCY730136,Take Surface Water,A,,2830.0,2830.0,1,12,0.0,0.0,Terminated - Surrendered,1973-05-01,1995-12-19
NCY730465,Take Surface Water,A,,2800.0,2800.0,1,12,0.0,0.0,Terminated - Surrendered,1973-10-01,1997-07-09
SCY820225A,Take Surface Water,A,,2500.0,2500.0,1,12,0.0,0.0,Terminated - Surrendered,1982-11-09,1991-11-14
NCY720291,Take Surface Water,A,,2379.0,2379.0,1,12,0.0,0.0,Terminated - Surrendered,1972-07-01,1995-12-19
NCY870368A,Take Surface Water,A,,2300.0,2300.0,1,12,0.0,0.0,Terminated - Expired,1988-12-02,1999-04-30
NCY860125A,Take Surface Water,A,,2250.0,2250.0,1,12,0.0,0.0,Terminated - Replaced,1987-04-01,1996-06-10
CRC890188B,Take Surface Water,A,,2200.0,2200.0,1,12,0.0,0.0,Terminated - Replaced,1990-12-21,1993-03-25
CRC941247.1,Take Surface Water,A,,2200.0,2200.0,1,12,0.0,0.0,Terminated - Surrendered,2003-04-16,2005-01-28
CRC941247,Take Surface Water,A,,2200.0,2200.0,1,12,0.0,0.0,Terminated - Replaced,1995-01-19,2003-04-16
CRC916560A,Take Surface Water,A,,2000.0,2000.0,1,12,0.0,0.0,Terminated - Surrendered,1991-12-19,1900-01-01
SCY800014A,Take Surface Water,A,,2000.0,2000.0,1,12,0.0,0.0,Terminated - Expired,1980-02-13,1993-06-01
CRC890850B,Take Surface Water,A,,2000.0,2000.0,1,12,0.0,0.0,Terminated - Expired,1990-03-02,1999-04-30
MLB910014,Take Surface Water,A,,1650.0,1650.0,1,12,0.0,0.0,Terminated - Expired,1991-10-17,1996-10-16
NCY870380A,Take Surface Water,A,,1600.0,1600.0,1,12,0.0,0.0,Terminated - Expired,1988-02-26,1999-04-30
NCY720075,Take Surface Water,A,,1556.0,1556.0,1,12,0.0,0.0,Terminated - Surrendered,1972-07-01,1995-12-19
WTK813891A,Take Surface Water,In Waitaki,,1500.0,1500.0,1,12,0.0,0.0,Terminated - Expired,1982-02-08,1995-04-30
SCY870017C,Take Surface Water,A,,1500.0,1500.0,1,12,0.0,0.0,Terminated - Replaced,1987-03-12,1991-10-07
SCY870017C.1,Take Surface Water,A,,1500.0,1500.0,1,12,0.0,0.0,Terminated - Expired,1991-10-07,1992-12-01
CRC000661,Take Surface Water,A,,1500.0,1500.0,1,12,0.0,0.0,Terminated - Expired,1999-11-29,2002-11-24
NCY720289,Take Surface Water,A,,1416.0,1416.0,1,12,0.0,0.0,Terminated - Surrendered,1969-03-17,2001-04-23
SCY770060A,Take Surface Water,A,,1400.0,1400.0,1,12,0.0,0.0,Terminated - Expired,1977-05-18,1993-03-01
SCY850057B,Take Surface Water,A,,1200.0,1200.0,1,12,0.0,0.0,Terminated - Expired,1985-06-13,1991-05-01
SCY850057C,Take Surface Water,A,,1200.0,1200.0,1,12,0.0,0.0,Terminated - Expired,1985-06-13,1991-05-01
SCY820024A,Take Surface Water,A,,1200.0,1200.0,1,12,0.0,0.0,Terminated - Surrendered,1982-03-12,1992-09-01
NCY710152A,Take Surface Water,A,,1132.0,1132.0,1,12,0.0,0.0,Terminated - Expired,1971-11-05,1991-11-04
WTK722951A,Take Surface Water,In Waitaki,,1130.0,1130.0,1,12,0.0,0.0,Terminated - Surrendered,1972-03-13,1900-01-01
CRC905356,Take Surface Water,In Waitaki,,1100.0,1100.0,1,12,0.0,0.0,Terminated - Replaced,1991-02-01,1994-02-11
