ExtSiteID,BandNumber,MinAllocation,MinTrigger,MaxAllocation,MaxTrigger
1003,5,100,0.3599,104,0.36
1003,6,100,0.3599,104,0.36
1003,7,100,0.3599,104,0.36
1278,2,100,0.1499,104,0.15
1646189,2,100,0.21,104,0.22
165122,5,100,0.7499,104,0.75
168205,1,100,1.539,108,1.539
1691054,2,100,0.0799,104,0.08
1692046,1,100,0.0169,104,0.017
1696295,2,100,0.6999,104,1.3
1708022,6,100,0.85,104,0.86
2371,4,100,0.1349,104,0.135
270,4,100,0.3099,104,0.31
343,2,100,0.19,104,0.1901
421,1,100,0.199,104,0.2
493,2,100,0.0099,104,0.01
493,4,100,0.0999,104,0.1
64602,18,100,19.9999,104,20.0
648,5,100,0.149,104,0.15
648,8,100,0.1499,104,0.15
65104,8,100,10.0,108,17.0
65104,26,100,12.0,104,15.0001
65901,7,100,0.441,104,0.5911
66204,2,100,1.7,108,4.2
66204,10,100,3.2049,104,4.7051
66204,12,100,3.199,104,4.7
66213,1,100,0.535,104,0.5351
68002,1,100,0.9999,104,1.0
68002,4,100,0.599,104,0.6
68322,3,100,0.9999,104,1.0
68401,2,100,0.6999,104,0.7
69602,8,100,0.9999,104,1.3
69602,13,100,0.6999,104,1.3
L35/0765,0,100,-65.0,104,-64.9999
L36/1738,0,100,-22.0001,104,-22.0
L37/0572,0,100,-31.0001,104,-31.0
M35/3662,0,100,-15.5,104,-15.4999
